 ,Area
752,7.756
753,18.837
754,35.088
755,10.711
756,43.090
757,0.739
758,30.532
759,6.033
760,0.862
761,0.862
762,0.862
763,26.593
764,2.832
765,19.698
766,0.123
767,31.271
768,43.952
769,0.862
770,33.364
771,26.223
772,3.078
773,12.311
774,1.231
775,9.849
776,2.216
