 ,Label,Area,Mean,Min,Max
230,2.jpg,89,2.5514,-30.1617,28.6789
231,2.jpg,301,10.3217,-83.9014,76.8723
232,2.jpg,351,15.1400,-51.5675,57.7079
233,2.jpg,3,15.3869,12.4281,17.5057
234,2.jpg,775,12.0425,-72.7213,70.6567
235,2.jpg,372,2.8290,-35.2553,53.1730
236,2.jpg,159,13.5046,-14.8681,48.4625
237,2.jpg,20,-3.2773,-14.5686,4.6732
238,2.jpg,1391,0.6487,-39.9606,37.6792
239,2.jpg,75,-2.2019,-6.2219,1.9572
240,2.jpg,294,-0.0379,-10.1507,13.2954
241,2.jpg,678,18.2050,-62.9206,72.1740
242,2.jpg,356,4.9066,-34.5524,38.7843
243,2.jpg,247,-0.6777,-39.4754,57.7738
244,2.jpg,377,8.5277,-41.9727,55.1014
245,2.jpg,334,11.4048,-35.3536,53.2693
246,2.jpg,286,19.1674,-33.2837,67.2287
247,2.jpg,421,-1.1241,-33.3129,28.4383
248,2.jpg,407,16.0890,-37.5083,76.8214
249,2.jpg,4,-3.0810,-6.4166,2.1451
250,2.jpg,49,72.2561,50.7958,81.0003
251,2.jpg,286,0.2661,-33.1044,54.2350
252,2.jpg,161,-46.1395,-82.7443,8.0297
253,2.jpg,332,23.2599,-29.0500,70.5670
254,2.jpg,375,11.4228,-48.7720,67.1778
255,2.jpg,171,19.4152,-16.5762,48.8255
256,2.jpg,239,9.2543,-23.5553,46.8877
257,2.jpg,303,7.5694,-40.4498,63.0356
258,2.jpg,305,-8.5791,-36.6879,23.9527
259,2.jpg,281,14.8189,-69.7606,57.8007
260,2.jpg,370,17.7031,-46.2182,59.1985
261,2.jpg,17,-7.0261,-13.7962,0.7539
262,2.jpg,29,3.4607,-1.3598,7.2733
263,2.jpg,250,14.7374,-19.1404,65.1685
264,2.jpg,332,2.9529,-57.3066,73.2528
265,2.jpg,599,4.7107,-40.7574,74.2245
266,2.jpg,708,17.8972,-61.6197,71.0335
267,2.jpg,322,-7.6565,-66.4633,68.5459
268,2.jpg,335,-2.8674,-44.8899,32.7877
269,2.jpg,719,3.2127,-56.3989,86.5087
270,2.jpg,4,-3.1821,-3.7695,-2.5950
271,2.jpg,695,16.5238,-52.7266,77.7690
272,2.jpg,894,-5.3090,-39.0776,16.0887
273,2.jpg,556,-3.1686,-57.9361,50.1927
274,2.jpg,207,26.6441,-20.7634,76.1540
275,2.jpg,339,17.1523,-43.4622,75.1077
276,2.jpg,351,18.6256,-60.2927,81.8469
277,2.jpg,376,19.6383,-63.6223,65.1893
278,2.jpg,271,13.7143,-26.4100,68.6309
279,2.jpg,364,-4.1653,-87.4921,66.9914
280,2.jpg,619,-10.2002,-82.8077,66.4153
281,2.jpg,4,-11.1230,-12.0430,-10.2097
282,2.jpg,66,-13.3151,-18.2350,-5.8900
283,2.jpg,273,5.6971,-33.3376,74.9414
284,2.jpg,50,-2.4517,-23.6277,14.6871
285,2.jpg,175,9.9186,-43.0710,41.9396
286,2.jpg,6,13.5348,3.4519,21.9313
287,2.jpg,1651,7.4833,-52.9457,59.2868
288,2.jpg,12,-10.6862,-16.6455,-1.2708
289,2.jpg,95,36.4446,9.1004,54.9006
290,2.jpg,213,18.2737,-42.2647,66.6607
291,2.jpg,205,11.6715,-25.3572,61.3733
292,2.jpg,281,-6.9452,-58.8149,43.7000
293,2.jpg,12,29.4427,23.4610,33.4170
294,2.jpg,9,-4.0401,-9.4090,4.7359
295,2.jpg,413,4.0907,-29.3948,62.1095
296,2.jpg,227,14.0097,-33.6847,58.4185
297,2.jpg,140,60.2623,-40.3742,84.8928
298,2.jpg,393,13.6794,-57.1639,65.3558
299,2.jpg,323,5.1192,-96.2633,64.3855
300,2.jpg,307,17.0280,-36.9433,65.3112
301,2.jpg,721,16.4627,-28.8525,59.4646
302,2.jpg,741,6.4554,-48.4588,56.2746
303,2.jpg,635,18.2684,-32.6756,76.2180
304,2.jpg,1805,7.1328,-69.5810,59.2224
305,2.jpg,290,7.1831,-24.2223,41.5180
306,2.jpg,182,29.7679,-10.9967,64.6546
307,2.jpg,512,-8.5757,-67.2354,40.4347
308,2.jpg,312,8.8840,-27.2127,77.8877
309,2.jpg,194,-10.0042,-51.2018,21.9765
310,2.jpg,1663,17.6374,-60.1755,73.2417
311,2.jpg,552,4.6399,-68.7000,69.5858
312,2.jpg,263,-12.1137,-49.1063,42.2695
313,2.jpg,338,2.7831,-45.4650,59.5508
314,2.jpg,343,19.1069,-51.5991,65.6305
315,2.jpg,486,11.0366,-41.0124,66.1050
316,2.jpg,471,11.2691,-35.5634,66.4332
317,2.jpg,2,-10.8498,-10.9154,-10.7842
318,2.jpg,97,-67.4939,-98.1453,-16.9114
319,2.jpg,545,2.2483,-69.2118,67.2091
320,2.jpg,183,-6.7587,-36.9813,33.1268
321,2.jpg,796,16.8468,-44.2811,63.6973
322,2.jpg,715,4.5911,-76.4372,70.2090
323,2.jpg,253,-4.8507,-37.9760,42.8572
324,2.jpg,464,7.2439,-53.1650,57.1265
325,2.jpg,377,15.2675,-39.1284,83.2886
326,2.jpg,313,3.1468,-55.7934,62.5725
327,2.jpg,531,-2.8284,-41.5721,44.7034
328,2.jpg,106,-6.6420,-13.8469,1.1638
329,2.jpg,69,-39.0386,-71.9372,-0.0578
330,2.jpg,309,9.8703,-32.7503,49.4789
331,2.jpg,210,23.8931,-16.5091,76.8774
332,2.jpg,786,-1.4294,-80.0377,59.7955
333,2.jpg,333,3.5955,-31.4718,43.7347
334,2.jpg,270,14.3824,-55.5043,60.1051
335,2.jpg,324,1.4588,-19.2245,46.2739
336,2.jpg,22,1.5634,-20.5024,26.7556
337,2.jpg,296,13.8520,-13.4331,56.6945
338,2.jpg,1,15.9541,15.9541,15.9541
339,2.jpg,605,18.5052,-31.9055,64.4791
340,2.jpg,294,18.8156,-26.2069,61.8482
341,2.jpg,147,3.1964,-12.0208,25.4678
342,2.jpg,489,14.8960,-17.6737,70.1893
343,2.jpg,351,2.4273,-73.2408,76.4485
344,2.jpg,3,10.9333,10.3815,11.8536
345,2.jpg,5,-0.6875,-5.9468,13.7787
346,2.jpg,374,-2.6300,-60.2053,48.1241
347,2.jpg,22,0.7887,-4.8686,8.8178
348,2.jpg,240,21.5245,-59.8068,75.0642
349,2.jpg,395,2.6960,-39.8732,60.4525
350,2.jpg,3,7.5356,3.5972,10.0747
351,2.jpg,46,-5.9043,-11.0398,-0.1633
352,2.jpg,18,2.2018,0.1021,4.5865
353,2.jpg,512,20.9769,-20.5164,74.7723
354,2.jpg,665,-3.2365,-94.2464,82.2424
355,2.jpg,328,-11.4622,-88.8394,83.1501
356,2.jpg,237,-1.2480,-50.8029,43.9040
357,2.jpg,836,8.4848,-42.0546,51.2386
358,2.jpg,1343,5.1861,-47.7036,63.0611
359,2.jpg,310,11.3672,-34.6898,51.0775
360,2.jpg,708,11.7058,-51.2971,57.9265
361,2.jpg,752,22.9732,-22.5782,64.3667
362,2.jpg,10,7.5934,-1.7028,15.9365
363,2.jpg,412,7.6692,-38.3136,54.7909
364,2.jpg,276,5.7529,-58.2128,60.6998
365,2.jpg,502,2.4790,-52.2262,62.4930
366,2.jpg,601,-1.0109,-85.0723,76.2007
367,2.jpg,519,8.5892,-68.3040,70.4271
368,2.jpg,368,11.0785,-51.9069,53.3311
